id,name,pf,publication_id,title
0,ontologies,74.79888734,140362,"Constructing a Corpus-based Ontology Using Model Bias."
1,"relevance feedback",25.422281352,13303494,"SVD Subspace Projections for Term Suggestion Ranking and Clustering"
2,"programming language",527.6523917000001,6572721,"The portability of parallel programs across MIMD computers"
3,security,0.7050581711730001,277504,"RC6 as the AES."
4,"covert channel",17.136205227999998,17153952,"Community Epidemic Detection with Syzygy"
5,"deep learning",39.08002007,6468916,"Boltzmann Machines for Image Denoising"
6,gpu,60.969058819999994,19091323,"Navigating Wikipedia with the Zoomable Adjacency Matrix Explorer"
7,"supply chain",74.99735149,83485487,"Building Agents for Internet-based Supply Chain Integration"
9,"big data",0.143634104262,2049211,"Big Data Frequent Pattern Mining"
10,"local search",854.88635972,119633386,"Exploiting random walk strategies in automated reasoning"
11,"cloud computing",331.776164976,1748331,"Remote Procedure Calls and the Client/Server Model"
12,"social networks",50.707605998,7077119,"Modeling and analysis of massive social networks"
13,"information retrieval",96.589191439,380549,"Evaluating the Use of Project Glossaries in Automated Trace Retrieval."
14,"user interface",13.028149933500002,230160,"Integrating provenance into an operational data product information system"
15,manufacturing,162.28734608,144650,"Proceedings for the Army Science Conference (24th) Held on 29 November-2 December 2004 in Orlando, Florida (CD-ROM)"
16,"information retrieval",757.5273170199999,380549,"Evaluating the Use of Project Glossaries in Automated Trace Retrieval."
17,"mobile devices",15.973827402,1748331,"Remote Procedure Calls and the Client/Server Model"
18,e-commerce,14.722025724,4513054,"Designing an Adaptive CORBA Load Balancing Service Using TAO"
19,"load balancing",125.60046880000002,2049211,"Big Data Frequent Pattern Mining"
20,"error analysis",126.093626076,9509074,"Fast Multipole Method based filtering of non-uniformly sampled data."
21,"big data",238.15302862000001,2049211,"Big Data Frequent Pattern Mining"
22,decision-making,3.4656811995300005,230160,"Integrating provenance into an operational data product information system"
23,"local search",681.203076096,119633386,"Exploiting random walk strategies in automated reasoning"
24,"natural language processing",71.14976193000001,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
25,culture,0.7050581711730001,15347821,"Cultural support for improvisation"
26,"wireless sensor networks",768.66209784,11088318,"Geometric Routing in Wireless Sensor Networks"
27,"temporal logic",2131.6764969600003,23603061,"Planning and Control"
28,"game design",0.285869483145,26374549,"Physics-based 3D game design as a first course in computing"
29,"virtual machine",29.3597251935,11554108,"Memory safety for low-level software/hardware interactions"
30,"pattern recognition",259.538837532,309286,"Learning embeddings for indexing, retrieval, and classification, with applications to object and shape recognition in image databases"
31,"data mining",470.968202506,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
32,"temporal logic",144.235636792,23603061,"Planning and Control"
33,"machine translation",469.255563392,11643025,"Combining Categorization-based and Corpus-based Approaches for CLIR."
34,"quantum cryptography",428.92552464,32507011,"Quantum Computation and Quantum Information: 10th Anniversary Edition"
35,"artificial intelligence",1.17935998425,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
36,learning,1448.8672711699999,318662,"Learning classical physics"
37,"data mining",473.96373292799996,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
38,"artificial intelligence",321.24045012799996,7205350,"A hybrid of tabu search and local descent algorithms with applications in artificial intelligence"
39,"feature selection",8.3715775637,12563130,"Training for Fast Sequential Prediction Using Dynamic Feature Selection"
40,concurrency,41.693658233499995,777162,"Object-oriented Programming Languages Need Well-founded Contracts"
42,"parse tree",2.51785269864,46711236,"A cognitively plausible approach to understanding complex syntax"
43,"knowledge acquisition",60.81538582600001,29315476,"The role of sub-problems: supporting problem solving in narrative-centered learning environments"
44,"shared memory",847.20749228,1299801,"Mobile agents, DSM, coordination, and self-migrating threads: a Common Framework"
45,"approximation algorithm",93.331759466,3973702,"Approximation Algorithm for the Max k-CSP Problem."
46,privacy,526.679817132,1152574,"Energy savings in privacy-preserving computation offloading with protection by homomorphic encryption"
47,"image segmentation",128.490591216,4182552,"Autonomous aerial navigation and tracking of marine animals"
48,"deep learning",57.6810514384,6468916,"Boltzmann Machines for Image Denoising"
49,cryptography,2.5785268030800004,3168804,"Two-Party Computation Model for Privacy-Preserving Queries over Distributed Databases."
50,"data mining",883.33915225,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
51,concurrency,0.9406433468400001,777162,"Object-oriented Programming Languages Need Well-founded Contracts"
52,healthcare,23.98367895,1384677,"Dispute prevention and dispute resolution in networked health information technology"
53,diagnosis,0.12528623095799998,2945316,"A robust method for hybrid diagnosis of complex systems"
54,routing,24.1171667248,2225560,"ADAPTIVE FAULT-TOLERANT ROUTING"
55,"natural language processing",44.2102705618,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
57,"fault tolerance",38.298409076700004,4013337,"Proactive Fault Tolerance in Large Systems"
58,"natural language",48.40222247250001,2696813,"Integrating programming by example and natural language programming"
59,"data structure",161.85318500399998,1132801,"Understanding coreference in a system for solving physics word problems"
60,"ubiquitous computing",142.86401456000002,1188017,"Proceedings of the fifth international joint conference on Autonomous agents and multiagent systems"
62,"false alarm",72.829748524,62598758,"Bayesian Anomaly Detection (BAD v0.1)"
63,education,47.951547643999994,516995,"Supplemental Versus Essential Use of Computing Devices in the Classroom: An Analysis"
64,"frequent pattern mining",8.406956407,2049211,"Big Data Frequent Pattern Mining"
66,"image restoration",120.6081912,3219603,"Constrained iterative image restoration algorithms"
68,"open source",0.80330438594,11749263,"Image Annotation System Using Visual and Textual Features."
69,"deep learning",84.083582742,6468916,"Boltzmann Machines for Image Denoising"
70,smartphone,0,30726166,"The shy mayor: private badges in geosocial networks"
71,"natural language processing",213.08783032,3718207,"Building an automated problem list based on natural language processing: lessons learned in the early phase of development."
